"Team","G","W","L","totFav","avgFav","totBI","avgBI","totPI","avgPI","pctFav"
"ARI","162","52","110","-6.42","-0.04","-27.96","-0.17","21.54","0.13","42.6"
"ATL","161","88","73","-7.1*","-0.04*","-20.95*","-0.13*","13.85*","0.09*","44.4*"
"BAL","162","52","110","-16.63*","-0.1*","-21.29*","-0.13*","4.66*","0.03*","43.5*"
"BOS","162","92","70","5.02","0.03","-21.56","-0.13","26.58","0.16","56.8"
"CHC","162","71","91","0.23","0","-22.63","-0.14","22.86","0.14","51.9"
"CIN","162","83","79","18.44","0.11","-19.03","-0.12","37.47","0.23","59.9"
"CLE","162","80","82","-1.79*","-0.01*","-20.14*","-0.13*","18.35*","0.11*","48.4*"
"COL","161","74","87","3.17","0.02","-19.39","-0.12","22.56","0.14","53.4"
"CWS","162","93","69","-11.28*","-0.07*","-17.68*","-0.11*","6.4*","0.04*","48.1*"
"DET","162","77","85","-18.25*","-0.11*","-20.11*","-0.12*","1.86*","0.01*","42.2*"
"HOU","162","95","67","-14.89","-0.09","-40.46","-0.25","25.57","0.16","42.6"
"KC","162","74","88","2.43","0.01","-13.34","-0.08","15.77","0.1","51.2"
"LAA","162","77","85","9.25*","0.06*","-25.68*","-0.16*","34.93*","0.22*","52.2*"
"LAD","162","106","56","-4.83","-0.03","-23.75","-0.15","18.92","0.12","48.8"
"MIA","162","67","95","-0.22","0","-14.07","-0.09","13.85","0.09","50"
"MIL","162","95","67","12.58","0.08","-13.8","-0.09","26.38","0.16","56.2"
"MIN","162","73","89","17.7","0.11","-15.72","-0.1","33.42","0.21","56.2"
"NYM","162","77","85","0.27","0","-20.62","-0.13","20.89","0.13","50.6"
"NYY","162","92","70","0.49*","0*","-25.03*","-0.16*","25.52*","0.16*","53.4*"
"OAK","162","86","76","19.8","0.12","-9.31","-0.06","29.11","0.18","55.6"
"PHI","162","82","80","5.8*","0.04*","-22.06*","-0.14*","27.86*","0.17*","51.6*"
"PIT","162","61","101","-4.6","-0.03","-20.6","-0.13","16","0.1","44.4"
"SD","162","79","83","-5.01","-0.03","-27.8","-0.17","22.79","0.14","46.3"
"SEA","162","90","72","0.41","0","-16.44","-0.1","16.85","0.1","49.4"
"SF","162","107","55","-8.61","-0.05","-39.05","-0.24","30.44","0.19","49.4"
"STL","162","90","72","-5.5","-0.03","-29.2","-0.18","23.7","0.15","50"
"TB","162","100","62","-8.71","-0.05","-28.62","-0.18","19.91","0.12","40.1"
"TEX","162","60","102","22.43","0.14","-17.63","-0.11","40.06","0.25","58"
"TOR","162","91","71","-6.53","-0.04","-28.65","-0.18","22.12","0.14","45.7"
"WSH","162","65","97","2.35*","0.01*","-20.8*","-0.13*","23.15*","0.14*","48.4*"